Hashtag,Qtd. de posts,Curtidas médias,Engajamento médio,Visualizações (total)
verao,1,136200.0,37.7,432400
wishlist,1,136200.0,37.7,432400
muaythai,1,77600.0,25.6,341900
aula,1,77600.0,25.6,341900
natacao,1,77600.0,25.6,341900
dance,1,49600.0,24.0,240000
ballettok,1,49600.0,24.0,240000
balletdancer,1,49600.0,24.0,240000
petitedanse,1,49600.0,24.0,240000
bailarina,1,49600.0,24.0,240000
jazztok,1,49600.0,24.0,240000
jazz,1,49600.0,24.0,240000
amiga,1,49600.0,24.0,240000
jogador,2,107900.0,22.8,1215400
bonito,1,14300.0,20.9,87600
barreiras,1,14300.0,20.9,87600
teamsoltftv,1,47100.0,16.9,292300
vairal,1,33200.0,16.6,215800
iniciantefutevôlei,1,6398.0,16.1,41500
comedia,1,29100.0,15.8,221100
arenagrussai,1,29100.0,15.8,221100
fyyyyy,1,9308.0,15.4,63800
br,1,58100.0,15.3,414000
rafaparracho,1,56400.0,15.3,397100
treinodefutevolei,1,14500.0,14.8,106800
foryoupage,13,52758.230769230766,14.6,5883964
vlog,1,43700.0,14.5,304000
publicidad,1,22400.0,14.0,176400
futevoleibrasileiro,1,132900.0,13.9,985000
paravoce,1,132900.0,13.9,985000
fyyyyyp,1,132900.0,13.9,985000
fyyyyypp,1,132900.0,13.9,985000
felipeeindio,1,132900.0,13.9,985000
felipeiceman,1,132900.0,13.9,985000
icemanftv,1,132900.0,13.9,985000
indioefelipe,1,132900.0,13.9,985000
vaiprafy,1,132900.0,13.9,985000
et,1,25900.0,13.9,198100
belingham,1,552.0,13.9,3995
world,1,552.0,13.9,3995
gol,1,552.0,13.9,3995
tiktokesportes,2,15885.5,13.9,229300
edit,1,293500.0,13.8,2300000
edição,1,293500.0,13.8,2300000
craque,1,293500.0,13.8,2300000
jogamuito,1,293500.0,13.8,2300000
fypシ,4,6626.0,13.7,263437
fotos,1,81000.0,13.6,645300
biscoitocut,1,43300.0,13.3,360900
casal,3,30600.0,13.2,854500
paravoceforyou,1,36.0,13.2,273
viraltiktok,5,47146.0,13.0,1902789
