hashtags,qtd_posts,curtidas_medias,engajamento_medio
cdb8,1,139500.0,0.2933087934560327
inscriçãocorridadasblogueiras,1,139500.0,0.2933087934560327
maychoi,1,139500.0,0.2933087934560327
hbomaxbr,1,330000.0,0.1677025
cerejadefases,1,77600.0,0.16418828451882844
geraçãocereja,1,77600.0,0.16418828451882844
oboticario,1,77600.0,0.16418828451882844
sheinamorparatodos,1,739400.0,0.1487202
halloweelis,1,911600.0,0.143595625
casachango,2,199400.0,0.13629788382594418
anosatrás,1,50.0,0.12686567164179105
niveashine,1,204900.0,0.12106294117647058
tiktokawards22,1,381200.0,0.12046875
vaiprofycaramba,1,644.0,0.11732725359522975
niveamilk,1,150300.0,0.11635153846153846
naham,1,86.0,0.11530398322851153
famouseditxx,1,86.0,0.11530398322851153
teambiquinivermelhinho,1,342100.0,0.11087903225806452
biquinivermelhinho,1,342100.0,0.11087903225806452
sheintrends,1,95900.0,0.10991451042972758
tatodomundomal,1,215700.0,0.108747
alémdoguardaroupa,3,190566.66666666666,0.10377972396906916
chango,448,245599.1830357143,0.10358570061920995
sedaaminosilk,3,140133.33333333334,0.10322243381285846
sheinspo,1,42900.0,0.10281190926275992
sheincode,1,42900.0,0.10281190926275992
uccchella,1,92600.0,0.10243897146576977
outono24,1,70500.0,0.10179704320367447
clccolcci,1,70500.0,0.10179704320367447
desafioclc,1,70500.0,0.10179704320367447
shein,2,386250.0,0.10164465284552845
sheinbrasil,3,271066.6666666667,0.10019843116599347
nasheintem,3,271066.6666666667,0.10019843116599347
diadosnamoradosrenner,2,48600.0,0.09648419362896002
bisquas24,1,73700.0,0.09440873872729583
joiarara,1,88700.0,0.09389547250075965
disneyplusbr,4,44700.0,0.09344192922071777
pravaquejadaeuvou,1,172500.0,0.09204842105263158
sheglamcollection,1,46700.0,0.09162642457021442
sheglamxmarilynmonroe,1,46700.0,0.09162642457021442
squadrenner,1,36400.0,0.09068192888455918
pedebis,1,133400.0,0.089894
claragnds,3,223.33333333333334,0.08865229630428527
sedacomcachinhos,1,104400.0,0.0875925
bisquad23,2,150850.0,0.08520271428571428
torcidagloboplay,1,124800.0,0.08367866666666667
naopara,1,120900.0,0.083664
sheinforall,6,163433.33333333334,0.08133579866195102
thevoicebrasil,5,37900.0,0.08103809622210267
maisvoice,5,37900.0,0.08103809622210267
opporenonobailão,1,42300.0,0.08026641651031895
opporeno14,1,42300.0,0.08026641651031895
criadocomadidas,10,112980.0,0.07937908641841213
hidratantelabial,3,95433.33333333333,0.0774617971867024
tanobrilho,3,95433.33333333333,0.0774617971867024
fypシ゚,1,2270.0,0.07635179153094462
primaveraveraorenner,1,8223.0,0.07634615384615384
loveshein,2,36900.0,0.07593754674899023
confiaéoralb,1,23900.0,0.07429320987654321
vemqueéoralb,1,23900.0,0.07429320987654321
assumaodescontrole,4,96250.0,0.07276354575712547
jogosolimpicos,2,77600.0,0.06964999999999999
saveinstyle,3,35633.333333333336,0.06881473306301245
momentsofjoy,1,52100.0,0.06767142673356491
commelissa,2,52100.0,0.06767142673356491
modofusion,1,66700.0,0.06756818181818182
fusiondatropatoda,1,66700.0,0.06756818181818182
niveafacial,1,72800.0,0.06677454545454546
sheglam,2,31050.0,0.06670767138800958
iconiccollection,1,6656.0,0.06593385214007783
defériascaribevip,1,89700.0,0.06457285714285714
diadasmãesrenner,1,44200.0,0.06258543417366946
desafiodalore,1,35400.0,0.0624956732433368
bisquad2023,1,43100.0,0.06047150187213979
watati,1,40200.0,0.06009856500942166
barbie,1,40200.0,0.06009856500942166
karolg,1,40200.0,0.06009856500942166
kfc,1,81400.0,0.05885714285714286
fomedepromokfc,1,81400.0,0.05885714285714286
solteira,1,80700.0,0.058176
viral,1,80700.0,0.058176
foryou,1,80700.0,0.058176
pampa,1,80700.0,0.058176
calmdown,1,60100.0,0.05720909090909091
squadtánarenner,1,29100.0,0.05712928862182594
quemamaimpressiona,1,29100.0,0.05712928862182594
copaénaf12,1,77700.0,0.05709
euseiqueda,1,77700.0,0.05709
moreninhaclara,1,36800.0,0.056430826636050514
nivealip,5,61553.6,0.05529813519507323
buscanomagalu,1,49300.0,0.055244459293908005
pordosol,1,59500.0,0.05495272727272727
penumbradjonga,1,59500.0,0.05495272727272727
shein99,1,33100.0,0.05456910569105691
ad,1,33100.0,0.05456910569105691
tridentnorockinrio24,1,80200.0,0.053918
ésedasim,6,145483.33333333334,0.052612279003156105
publi,16,72900.0,0.05186583040775258
cabelossemlimites,4,140225.0,0.0517625508661753
skincare,2,43550.0,0.05123295465270926
nivealuminousskinglow,1,71400.0,0.05119
niveabrasil,13,52089.846153846156,0.0506537235966765
canetadosus,1,59100.0,0.05048333333333333
sus,1,59100.0,0.05048333333333333
diabetes,1,59100.0,0.05048333333333333
canetadeinsulina,1,59100.0,0.05048333333333333
canetadasaude,1,59100.0,0.05048333333333333
macnocarnavaldaanitta,1,17900.0,0.0496767298958055
grwm,1,17900.0,0.0496767298958055
sheinblackfriday,1,30900.0,0.04906318423522052
sheingoodfinds,1,30900.0,0.04906318423522052
sheinlocal,1,30900.0,0.04906318423522052
escape60,1,41000.0,0.04873150105708245
escapegame,1,41000.0,0.04873150105708245
escaperoom,1,41000.0,0.04873150105708245
nivealuminousglow,1,14100.0,0.04675303378156773
glowgirl,1,14100.0,0.04675303378156773
vult,1,45400.0,0.046546
fazteuhit,1,45400.0,0.046546
grandesdeclaraçõesrenner,1,28200.0,0.04517116834170854
10sparavaler,1,62100.0,0.044765714285714284
br,1,62100.0,0.044765714285714284
ads,1,62100.0,0.044765714285714284
falagalvao,1,62100.0,0.044765714285714284
copadomundo,1,62100.0,0.044765714285714284
brasil🇧🇷,1,62100.0,0.044765714285714284
brasil,1,62100.0,0.044765714285714284
tiktoknow,1,62100.0,0.044765714285714284
paid,1,62100.0,0.044765714285714284
torcidatiktok,1,62100.0,0.044765714285714284
copa,1,62100.0,0.044765714285714284
respiradowny,1,30100.0,0.04470339600641306
bigday,1,30100.0,0.04470339600641306
perfumedowny?,1,30100.0,0.04470339600641306
bbb24,1,30100.0,0.04470339600641306
12horasprabrilhar,1,2878.0,0.04448584202682564
niveapotinhos,1,2878.0,0.04448584202682564
tanacaraquecaibem,1,2878.0,0.04448584202682564
controledeoleosidade,1,2878.0,0.04448584202682564
ouseservocêrenner,2,34000.0,0.044375086560405154
niveasun,1,16600.0,0.04396275219865494
capcut,1,31100.0,0.04383983286908078
mascabeijaedestrava,1,9046.0,0.04369947693770804
túneldoamor?,1,29700.0,0.04350014380212827
avonbrasil,1,12500.0,0.04345636426353915
carnavon2026,1,12500.0,0.04345636426353915
oesporteéparatodos,1,57700.0,0.04337071428571428
hotelbubbaloo,1,20500.0,0.04306655608542401
seglamlunarglow,1,15400.0,0.04178891820580475
jogosolímpicos,2,66400.0,0.04040784511784512
bisquad,1,16400.0,0.040306911551474145
climaquentecabecafria,1,373200.0,0.039884787234042554
publicidade,13,52118.0,0.03980256400330161
magicduetjao,1,20200.0,0.039441017733230534
3xmaisprotegida,2,29900.0,0.038592002324337654
bigmac,1,26700.0,0.03773074253990284
cokestudio?,1,22600.0,0.03738946684005202
previewoutonoinvernorenner,1,21200.0,0.03714553830404368
australiangoldbrasil,2,45750.0,0.037021442307692304
challengequatroestacoes,2,45750.0,0.037021442307692304
maybellinenybrasil,1,83500.0,0.03653913043478261
purosucomaybellineny,1,83500.0,0.03653913043478261
freshtintcomvitaminac,1,83500.0,0.03653913043478261
niveaacnecontrol,1,14300.0,0.035691363850873056
acne,1,14300.0,0.035691363850873056
sedaluminousuv,4,31000.0,0.03554261090066253
mascaedestrava,1,21100.0,0.035147373620945166
destraveaboca,1,21100.0,0.035147373620945166
conversebrasil,1,37800.0,0.03497272727272727
dueto,1,37800.0,0.03497272727272727
q10power,2,21050.0,0.03464581726562209
q10,2,21050.0,0.03464581726562209
antirrugas,2,21050.0,0.03464581726562209
rotinaq10,2,21050.0,0.03464581726562209
niveadeo,1,15900.0,0.034292382771058776
desafioquadradao,1,15200.0,0.03385840327092748
umanoinesquecível,1,20000.0,0.033722772277227725
DesafioShine,1,19300.0,0.03342308986873107
TaNoBrilho,1,19300.0,0.03342308986873107
NIVEALip,1,19300.0,0.03342308986873107
HidratanteLabial,1,19300.0,0.03342308986873107
NIVEABrasil,1,19300.0,0.03342308986873107
amagiadeacreditar,1,220400.0,0.03176442857142857
amúsicanãopara,2,14400.0,0.03175537241645901
cocacolanorockinrio,1,40900.0,0.03171076923076923
disneyplus,1,10700.0,0.03142276422764228
primaveraverãorenner,1,6769.0,0.03128597122302158
protetorsolar,2,37000.0,0.029803132856084227
adidasoriginals,1,176800.0,0.02825063492063492
bisquad24,2,14750.0,0.027604664546934846
aumenteovolume,14,41857.142857142855,0.027556536779777072
avidaéprasermovida,1,16500.0,0.026640152720330892
movidanorockinrio24,1,16500.0,0.026640152720330892
cokestudio,12,43541.666666666664,0.026390939903838145
outonoinvernorenner,1,23800.0,0.02616473894714085
reveleseulovu,2,10500.0,0.0255767397521449
MaratonaRexona,1,18800.0,0.024245547073791347
shareacoke,1,11300.0,0.02398218347232752
fyp,1,534.0,0.02378723404255319
2026,1,534.0,0.02378723404255319
nostalgia,1,534.0,0.02378723404255319
sheinbikini,1,38400.0,0.022935882352941177
sheinswimwear,1,38400.0,0.022935882352941177
sheinbikinigirls,1,38400.0,0.022935882352941177
timnorockinrio,2,29200.0,0.022794309995953055
sadianolollabr,1,10900.0,0.02238238841978287
vivasuavibe,1,4868.0,0.022011468901632112
acreditenonatal,1,11600.0,0.021908256880733945
maratonarexona,1,17700.0,0.021823929961089495
compartilheumacocacola,3,65066.666666666664,0.02165044735989254
bailedobrilhoseda,1,13500.0,0.021529780564263322
deixafalar,1,61200.0,0.020838666666666665
benettonperfumes,1,44900.0,0.019724782608695653
rockinrio2024,2,30900.0,0.0188740989010989
cocacola,4,57800.0,0.018672400280456216
finaldeanorenner,1,13900.0,0.018615889691398557
inspireoextraordinario,1,13900.0,0.018615889691398557
niveasunfluido,1,57400.0,0.015643513513513514
squadtanarenner,3,41433.333333333336,0.015055291319527498
realmagic,3,70766.66666666667,0.01468606362180487
bisnaccxp24,1,10400.0,0.013895052865161206
bisquad2024,1,10400.0,0.013895052865161206
joinsisterland,1,113100.0,0.013455882352941177
happn,1,109300.0,0.013410853658536585
vaiqueésua,1,103200.0,0.013079625
maisbubba,2,28150.0,0.013051344696969697
tánoamazonprime,1,213400.0,0.012690473372781065
incrivelnorockinrio,1,12700.0,0.011836363636363636
rockinrio,1,12700.0,0.011836363636363636
eunãovouembora,1,53700.0,0.011795434782608695
carnaval2023,1,53700.0,0.011795434782608695
bubbaween,2,19000.0,0.011448235294117646
contémconfiança,1,142700.0,0.010702089552238806
botapraferver,1,142700.0,0.010702089552238806
rexonanãoteabandona,1,142700.0,0.010702089552238806
sedanumanice,1,245700.0,0.00894695652173913
rockinrio40anos,2,16800.0,0.008936896103896103
comerbemnumaboa,2,16800.0,0.008936896103896103
elsevecolageno,1,72600.0,0.00852022988505747
elsevehaircare,1,72600.0,0.00852022988505747
cabeloelseve,1,72600.0,0.00852022988505747
lorealparis,1,72600.0,0.00852022988505747
tbt,1,29400.0,0.008005945945945945
spotifysalvaomeuverão,2,56400.0,0.007998177655677655
nopassinhodaoifibra,4,29150.0,0.007719986063521934
thetown,1,35100.0,0.0077178260869565215
incrivelnorocinrio,1,20900.0,0.006037428571428571
claranatim,1,44200.0,0.0035942857142857144
compartilhaumacocacola,1,28400.0,0.003089032258064516
bradesconolollabr,1,54700.0,0.0029236125654450262
